object_id,pipeline,faces,vertices,n_components,floater_face_frac,boundary_edges,boundary_loops,degenerate_faces,welded_vertices,aspect,gt_aspect,aspect_ratio,aspect_log_err,min_axis_over_diag,gt_confidence,error
B2_01,trellis_rembg,21522,17262,11,0.0462,15,6,0,10630,0.4012,,,,0.3387,,
B2_01,trellis_sam3,15772,11973,17,0.0739,0,0,0,7882,0.4453,,,,0.3004,,
B2_01,hunyuan_rembg,40000,26324,2,0.0001,0,0,0,19945,0.3187,,,,0.2822,,
B2_01,hunyuan_sam3,40000,27834,34,0.0491,0,0,0,20013,0.1903,,,,0.1837,,
B2_01,sam3d_sam3,7466,5038,1,0.0,0,0,0,3735,0.3655,,,,0.3229,,
B2_01,trellis2_rembg_2k,187856,154253,918,0.1478,35,23,23,91917,0.5317,,,,0.4202,,
B2_01,trellis2_rembg_4k,189403,155840,948,0.1513,26,20,24,92723,0.5318,,,,0.4202,,
B2_01,trellis2_sam3_2k,187586,141874,385,0.0962,0,0,0,93095,0.5268,,,,0.4191,,
B2_01,trellis2_sam3_4k,186814,144216,383,0.0966,0,0,0,92682,0.5267,,,,0.419,,
B2_02,trellis_rembg,17700,15192,15,0.039,0,0,0,8818,0.453,,,,0.3665,,
B2_02,trellis_sam3,19718,16995,18,0.0147,9,4,0,9782,0.4513,,,,0.3791,,
B2_02,hunyuan_rembg,40000,26750,7,0.0024,0,0,0,19955,0.5056,,,,0.4058,,
B2_02,hunyuan_sam3,40000,30910,10,0.0018,0,0,0,19846,0.3962,,,,0.3456,,
B2_02,sam3d_sam3,21901,17827,11,0.016,2,1,2,10879,0.5112,,,,0.4037,,
B2_02,trellis2_rembg_2k,187598,183738,1366,0.0737,45,17,17,90067,0.4487,,,,0.3715,,
B2_02,trellis2_rembg_4k,188230,184696,1402,0.075,42,16,18,90338,0.4485,,,,0.3713,,
B2_02,trellis2_sam3_2k,187123,152577,162,0.0086,20,7,1,92230,0.4559,,,,0.3584,,
B2_02,trellis2_sam3_4k,187428,152748,194,0.0086,23,8,3,92345,0.4563,,,,0.3587,,
B2_03,trellis_rembg,31683,24069,15,0.0197,12,6,0,15641,0.421,,,,0.3608,,
B2_03,trellis_sam3,25849,20043,5,0.0003,3,3,0,12771,0.3808,,,,0.3326,,
B2_03,hunyuan_rembg,40000,22899,1,0.0,0,0,0,20002,0.4162,,,,0.3582,,
B2_03,hunyuan_sam3,40000,21492,1,0.0,0,0,0,20002,0.4346,,,,0.3701,,
B2_03,sam3d_sam3,22924,15923,4,0.0606,0,0,2,11459,0.4261,,,,0.3583,,
B2_03,trellis2_rembg_2k,195221,156755,358,0.0781,9,5,3,96311,0.3632,,,,0.319,,
B2_03,trellis2_rembg_4k,195499,153768,361,0.0756,9,5,3,96472,0.3631,,,,0.3189,,
B2_03,trellis2_sam3_2k,198682,143987,105,0.0297,8,4,2,98847,0.326,,,,0.2907,,
B2_03,trellis2_sam3_4k,199270,145433,85,0.0305,2,2,2,99139,0.3261,,,,0.2908,,
B2_04,trellis_rembg,18946,17393,23,0.0323,14,6,0,9391,0.4503,,,,0.3794,,
B2_04,trellis_sam3,17828,16439,33,0.036,18,10,2,8858,0.4416,,,,0.3695,,
B2_04,hunyuan_rembg,40000,33727,31,0.01,0,0,0,19732,0.3804,,,,0.3307,,
B2_04,hunyuan_sam3,40000,34413,24,0.0034,0,0,0,19671,0.4168,,,,0.3574,,
B2_04,sam3d_sam3,17261,14522,5,0.0203,2,1,0,8564,0.4446,,,,0.3713,,
B2_04,trellis2_rembg_2k,189725,174754,531,0.0142,11,7,5,91837,0.5286,,,,0.4084,,
B2_04,trellis2_rembg_4k,188897,174048,515,0.0155,11,7,5,91431,0.5285,,,,0.4087,,
