object_id,pipeline,opposite_view_clip_max,opposite_view_clip_mean,degenerate_view_pairs,min_coverage,max_coverage,sat_ratio,chroma_var_ratio
B2_01,hunyuan_rembg,0.9218,0.8722,,0.3036,0.3992,0.478,0.6285
B2_01,hunyuan_sam3,0.9568,0.9003,,0.0435,0.1361,0.4617,0.8169
B2_01,sam3d_sam3,0.9425,0.938,,0.0968,0.2637,0.2316,0.5825
B2_01,trellis2_rembg_2k,0.9608,0.92,,0.2883,0.4419,0.7111,0.7035
B2_01,trellis2_rembg_4k,0.9176,0.9019,,0.2884,0.4418,0.7416,0.6745
B2_01,trellis2_sam3_2k,0.9286,0.9138,,0.1707,0.4049,0.9119,0.6524
B2_01,trellis2_sam3_4k,0.9338,0.9136,,0.1707,0.4047,0.9359,0.7222
B2_01,trellis_rembg,0.8979,0.875,,0.3061,0.5036,0.5466,0.6821
B2_01,trellis_sam3,0.9652,0.9049,,0.202,0.5016,0.5687,0.7229
B2_02,hunyuan_rembg,0.9497,0.9271,,0.4225,0.4887,0.842,0.6803
B2_02,hunyuan_sam3,0.949,0.9415,,0.2894,0.3546,0.8856,0.609
B2_02,sam3d_sam3,0.9576,0.933,,0.4831,0.4993,0.6219,0.555
B2_02,trellis2_rembg_2k,0.9683,0.9575,,0.3538,0.4144,0.847,0.5999
B2_02,trellis2_rembg_4k,0.9586,0.9554,,0.3541,0.4146,0.8347,0.6499
B2_02,trellis2_sam3_2k,0.9662,0.9228,,0.3709,0.4533,0.9233,0.7384
B2_02,trellis2_sam3_4k,0.9521,0.9278,,0.3715,0.4536,0.8956,0.6729
B2_02,trellis_rembg,0.9685,0.9239,,0.3701,0.4414,0.8488,0.6931
B2_02,trellis_sam3,0.9497,0.9282,,0.4138,0.4459,0.7663,0.4961
B2_03,hunyuan_rembg,0.9235,0.8645,,0.2546,0.464,0.4046,0.4205
B2_03,hunyuan_sam3,0.863,0.8022,,0.29,0.4943,0.6236,0.4111
