object_id,slot,geometry_1to5,texture_1to5,floaters,holes,flat_collapse,janus_duplicate,front_only_texture,notes
B2_01,A,3,3,,,,,,
B2_01,B,4,4,1,,,,,
B2_01,C,2,3,,,,,,
B2_01,D,1,3,1,,,,,
B2_01,E,3,3,,,,,,
B2_01,F,4,3,1,,,,,
B2_01,G,4,4,,,,,,
B2_01,H,4,3,1,,,,,
B2_01,I,1,1,1,,,,,
B2_02,A,5,5,,,,,,"tiny noise floaters, has some holes in the bottom "
B2_02,B,3,3,,,,,,
B2_02,C,3,3,,,,,,one side have extra shapes
B2_02,D,3,3,,,,,,
B2_02,E,5,4,,,,,,
B2_02,F,5,4,,,,,,
B2_02,G,5,5,,,,,,"tiny noise floaters, has some holes in the bottom"
B2_02,H,4,3,,,,,,one side have extra shapes
B2_02,I,4,4,,,,,,
B2_03,A,5,4,,1,,,,has holes in the bottom of the van 
B2_03,B,5,4,,1,,,,has holes in the bottom of the van
B2_03,C,4,3,,,,,,
B2_03,D,4,4,,1,,,,has some holes in the bottom of the van
B2_03,E,5,4,,,,,,
B2_03,F,5,5,,,,,,
B2_03,G,4,4,,1,,,,has some holes in the bottom of the van
B2_03,H,5,4,,,,,,
B2_03,I,5,5,,,,,,
B2_04,A,4,5,,,,,,"geometry is good in the visible side, but the backside is messed little, hole in the bottom"
B2_04,B,4,4,,1,,,,hole in the bottom and also in the top back
B2_04,C,4,4,,1,,,,hole in the bottom and also in the top back
B2_04,D,5,5,,,,,,hole in the bottom
B2_04,E,5,4,,,,,,
B2_04,F,3,3,,,,,,
B2_04,G,5,4,1,,,,,
B2_04,H,5,5,,,,,,hole in the bottom
B2_04,I,4,5,,1,,,,"geometry is good in the visible side, but the backside is messed little, hole in the bottom"
B2_05,A,4,4,,,,,,
B2_05,B,1,1,,,,,,
B2_05,C,3,3,,,,,,
B2_05,D,3,3,,,,,,
B2_05,E,4,3,,,,,,
B2_05,F,4,4,,,,,,
B2_05,G,4,4,,,,,,
B2_05,H,4,3,,,,,,
B2_05,I,4,4,,,,,,
B2_07,A,4,4,,,,,,
B2_07,B,3,3,,,,,,
B2_07,C,3,3,,,,,,
B2_07,D,1,2,,,,,,
B2_07,E,4,4,,,,,,
B2_07,F,1,3,,,,,,
B2_07,G,4,4,,,,,,
B2_07,H,4,4,,,,,,
B2_07,I,5,5,,,,,,
B2_08,A,4,4,,,,,,
B2_08,B,2,3,,,,,,
B2_08,C,3,3,,,,,,
B2_08,D,5,3,,1,,,,hole in the bottom 
B2_08,E,2,2,,,,1,,
B2_08,F,2,3,,1,,,,hole in the bottom 
B2_08,G,3,3,,,,,,
B2_08,H,2,3,,1,,,,hole in the bottom 
B2_08,I,5,3,,1,,,,hole in the bottom 
B2_09,A,5,3,,,,,,
B2_09,B,3,2,,,,,,
B2_09,C,4,3,1,,,,,
B2_09,D,5,4,1,,,,,
B2_09,E,5,5,,1,,,,
B2_09,F,3,2,,,,,,
B2_09,G,5,4,,,,,,
B2_09,H,3,2,,,,,,
B2_09,I,5,5,,1,,,,
B2_10,A,4,3,,,,,,
B2_10,B,2,3,1,1,,,,
B2_10,C,3,3,,,,,,
B2_10,D,2,3,1,1,,,,
B2_10,E,4,4,,1,,,,
B2_10,F,4,4,1,,,,,
B2_10,G,3,3,,1,,,,
B2_10,H,3,2,,,,,,
B2_10,I,3,2,,,,,,
B2_11,A,3,4,,1,,,,
B2_11,B,1,1,,1,,,,
B2_11,C,3,4,,,,,,
B2_11,D,1,1,,1,,,,
B2_11,E,1,1,,,,,,
B2_11,F,4,4,,1,,,,
B2_11,G,3,3,,,,,,
B2_11,H,4,4,,1,,,,
B2_11,I,3,3,,,,,,
B2_13,A,2,3,,1,,,,
B2_13,B,5,5,,1,,,,
B2_13,C,5,5,,1,,,,
B2_13,D,5,5,,1,,,,
B2_13,E,5,5,,1,,,,
B2_13,F,4,4,,1,,,,
B2_13,G,3,1,,,,,,
B2_13,H,2,2,,,,,,
B2_13,I,3,2,,1,,,,
B2_14,A,4,4,,1,,,,
B2_14,B,4,3,,,,,,
B2_14,C,3,2,,1,,,,
B2_14,D,4,4,,1,,,,
B2_14,E,4,4,,1,,,,
B2_14,F,3,2,,,,,,
B2_14,G,3,2,,1,,,,
B2_14,H,3,3,,,,,,
B2_14,I,4,4,,1,,,,
B2_16,A,4,4,,,,,,
B2_16,B,1,2,,1,,,,
B2_16,C,1,1,,1,,,,
B2_16,D,3,3,,,,,,
B2_16,E,2,1,,,,,,
B2_16,F,4,5,,,,,,
B2_16,G,1,1,,,,,,
B2_16,H,1,1,,1,,,,
B2_16,I,1,1,,,,,,
B2_17,A,2,3,,,,,,
B2_17,B,3,3,,1,,,,
B2_17,C,4,2,,,,,,
B2_17,D,2,3,,,,,,
B2_17,E,3,3,,1,,,,
B2_17,F,3,3,,,,,,
B2_17,G,3,3,,,,,,
B2_17,H,1,1,,,,,,
B2_17,I,2,1,,,,,,
B2_18,A,4,4,,,,,,
B2_18,B,4,3,,,,,,
B2_18,C,4,3,,,,,,
B2_18,D,3,2,,1,,,,
B2_18,E,4,3,,,,,,
B2_18,F,3,4,1,,,,,
B2_18,G,3,3,,,,,,
B2_18,H,4,4,,,,,,
B2_18,I,3,3,,,,,,
B2_19,A,2,1,,,,,,no bottom 
B2_19,B,3,2,,,,,,hole in the bottom 
B2_19,C,3,4,,,,,,no bottom 
B2_19,D,3,4,,,,,,no bottom 
B2_19,E,3,4,,,,,,no bottom 
B2_19,F,3,4,,,,,,no bottom 
B2_19,G,3,1,,,,,,
B2_19,H,2,2,,,,,,no bottom 
B2_19,I,3,1,,,,,,
B2_20,A,4,4,,1,,,,
B2_20,B,4,4,,1,,,,
B2_20,C,3,3,,1,,,,
B2_20,D,3,2,,,,,,
B2_20,E,3,3,,,,,,
B2_20,F,3,3,,1,,,,
B2_20,G,3,2,,1,,,,
B2_20,H,3,3,,1,,,,
